sample_accession	run_accession	setup
donor_1_CHO	donor_1_CHO	paired
donor_1_RPE	donor_1_RPE	paired
donor_2_CHO	donor_2_CHO	paired
donor_2_RPE	donor_2_RPE	paired
SRS12239005	SRR18292952	paired
SRS12239004	SRR18292953	paired
SRS12238999	SRR18292958	paired
X12.0046.PR	X12.0046.PR	paired
X12.0276.MR	X12.0276.MR	paired
X12.0276.PR	X12.0276.PR	paired
X12.0396.MR	X12.0396.MR	paired
X12.0396.PR	X12.0396.PR	paired
X12.0408.MR	X12.0408.MR	paired
X12.0408.PR	X12.0408.PR	paired
X12.0530.MR	X12.0530.MR	paired
X12.0530.PR	X12.0530.PR	paired
X12.0538.MR	X12.0538.MR	paired
X12.0538.PR	X12.0538.PR	paired
X12.0732.MR	X12.0732.MR	paired
X12.0732.PR	X12.0732.PR	paired
X12.0046.PRCS	X12.0046.PRCS	paired
X12.0210.PR	X12.0210.PR	paired
X12.0210.PRCS	X12.0210.PRCS	paired
X12.0276.MRCS	X12.0276.MRCS	paired
X12.0276.PRCS	X12.0276.PRCS	paired
X12.0396.MRCS	X12.0396.MRCS	paired
X12.0396.PRCS	X12.0396.PRCS	paired
X12.0408.MRCS	X12.0408.MRCS	paired
X12.0408.PRCS	X12.0408.PRCS	paired
X12.0530.MRCS	X12.0530.MRCS	paired
X12.0530.PRCS	X12.0530.PRCS	paired
X12.0538.MRCS	X12.0538.MRCS	paired
X12.0538.PRCS	X12.0538.PRCS	paired
X12.0732.MRCS	X12.0732.MRCS	paired
X12.0732.PRCS	X12.0732.PRCS	paired
X105785	X105785_TGACCA_S10_L008	single
X105776	X105776_ATTCCT_S1_L008	single
X105787	X105787_ATCACG_S12_L008	single
X105787	X105787_ATCACG_S12_L003	single
X105776	X105776_ATTCCT_S1_L003	single
X105785	X105785_TGACCA_S10_L003	single
X105786	X105786_GAGTGG_S11_L008	single
X105784	X105784_GTGAAA_S9_L003	single
X105786	X105786_GAGTGG_S11_L003	single
X105784	X105784_GTGAAA_S9_L008	single
X105777	X105777_GGCTAC_S2_L008	single
X105777	X105777_GGCTAC_S2_L003	single
X105782	X105782_CGATGT_S7_L008	single
X105782	X105782_CGATGT_S7_L003	single
X105780	X105780_AGTTCC_S5_L008	single
X105783	X105783_CAGATC_S8_L003	single
X105780	X105780_AGTTCC_S5_L003	single
X105779	X105779_CGTACG_S4_L003	single
X105779	X105779_CGTACG_S4_L008	single
X105778	X105778_ACTTGA_S3_L008	single
X105781	X105781_GTTTCG_S6_L003	single
X105783	X105783_CAGATC_S8_L008	single
X105781	X105781_GTTTCG_S6_L008	single
X105778	X105778_ACTTGA_S3_L003	single
SRS6457374	SRR11519182	single
SRS6457373	SRR11519183	single
SRS6457375	SRR11519184	single
SRS6457376	SRR11519185	single
SRS6457377	SRR11519186	single
SRS6457378	SRR11519187	single
SRS6457379	SRR11519188	single
SRS6457380	SRR11519189	single
SRS6509681	SRR11579328	single
SRS6509682	SRR11579329	single
SRS6509683	SRR11579330	single
SRS6509684	SRR11579331	single
SRS6509685	SRR11579332	single
SRS6509686	SRR11579333	single
SRS6509687	SRR11579334	single
SRS6509688	SRR11579335	single
SRS6509689	SRR11579336	single
SRS6509690	SRR11579337	single
SRS6509691	SRR11579338	single
SRS6509692	SRR11579339	single
SRS6509693	SRR11579340	single
SRS6509694	SRR11579341	single
SRS6509695	SRR11579342	single
SRS6509696	SRR11579343	single
SRS6509697	SRR11579344	single
DRS161827	DRR228774	paired
DRS161828	DRR228775	paired
DRS161829	DRR228776	paired
DRS161830	DRR228777	paired
DRS161831	DRR228778	paired
DRS161832	DRR228779	paired
DRS161833	DRR228780	paired
SRS390607	SRR671954	single
SRS390608	SRR671955	single
SRS390609	SRR671956	single
SRS390610	SRR671957	single
SRS3076827	SRR6875334	paired
SRS3076828	SRR6875335	paired
SRS3076829	SRR6875336	paired
SRS3076830	SRR6875337	paired
SRS3076831	SRR6875338	paired
