Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue
SRR5104186,differentiation day 7,RNA-Seq,102,2797010034,PRJNA357267,SAMN06140118,1137611874,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420088,GSM2427904,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427904,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104187,differentiation day 7,RNA-Seq,102,2327789430,PRJNA357267,SAMN06140119,941837358,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420089,GSM2427905,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427905,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104188,differentiation day 7,RNA-Seq,102,2016303054,PRJNA357267,SAMN06140120,813634821,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420090,GSM2427906,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427906,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104189,differentiation day 7,RNA-Seq,102,2481447942,PRJNA357267,SAMN06140117,998128243,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420091,GSM2427907,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427907,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104190,differentiation day 14,RNA-Seq,102,2438321118,PRJNA357267,SAMN06140121,996688959,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420092,GSM2427908,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427908,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104191,differentiation day 14,RNA-Seq,102,2404096038,PRJNA357267,SAMN06140114,970700893,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420093,GSM2427909,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427909,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104192,differentiation day 14,RNA-Seq,102,2169430452,PRJNA357267,SAMN06140115,873362635,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420094,GSM2427910,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427910,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104193,differentiation day 14,RNA-Seq,102,2315211810,PRJNA357267,SAMN06140116,933879527,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420095,GSM2427911,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427911,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104194,differentiation day 21,RNA-Seq,102,2426866314,PRJNA357267,SAMN06140151,996716483,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420096,GSM2427912,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427912,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104195,differentiation day 21,RNA-Seq,102,2365675800,PRJNA357267,SAMN06140150,955684046,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420097,GSM2427913,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427913,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104196,differentiation day 21,RNA-Seq,102,1726060728,PRJNA357267,SAMN06140149,696016026,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420098,GSM2427914,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427914,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104197,differentiation day 21,RNA-Seq,102,2143485834,PRJNA357267,SAMN06140154,866241878,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420099,GSM2427915,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427915,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104198,differentiation day 28,RNA-Seq,102,2312758506,PRJNA357267,SAMN06140158,947372903,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420100,GSM2427916,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427916,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104199,differentiation day 28,RNA-Seq,102,2149163358,PRJNA357267,SAMN06140152,870471307,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420101,GSM2427917,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427917,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104200,differentiation day 28,RNA-Seq,102,2303904906,PRJNA357267,SAMN06140153,931616309,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420102,GSM2427918,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427918,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104201,differentiation day 28,RNA-Seq,102,2266879926,PRJNA357267,SAMN06140157,920150678,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420103,GSM2427919,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427919,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104202,differentiation day 35,RNA-Seq,102,2338743210,PRJNA357267,SAMN06140156,958560467,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420104,GSM2427920,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427920,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104203,differentiation day 35,RNA-Seq,102,2171264820,PRJNA357267,SAMN06140155,872886225,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420105,GSM2427921,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427921,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104204,differentiation day 35,RNA-Seq,102,2212468740,PRJNA357267,SAMN06140163,886685332,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420106,GSM2427922,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427922,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104205,differentiation day 35,RNA-Seq,102,2357708070,PRJNA357267,SAMN06140162,944931488,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420107,GSM2427923,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427923,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104206,differentiation day 7,miRNA-Seq,50,340803600,PRJNA357267,SAMN06140161,152969395,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420108,GSM2427924,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427924,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104207,differentiation day 7,miRNA-Seq,50,394101300,PRJNA357267,SAMN06140160,175082246,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420109,GSM2427925,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427925,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104208,differentiation day 7,miRNA-Seq,50,403361750,PRJNA357267,SAMN06140159,177358575,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420110,GSM2427926,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427926,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104209,differentiation day 7,miRNA-Seq,50,431581800,PRJNA357267,SAMN06140169,192380344,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420111,GSM2427927,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427927,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104210,differentiation day 14,miRNA-Seq,50,460871700,PRJNA357267,SAMN06140168,195107336,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420112,GSM2427928,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427928,Retinal epithelial cells,SRP095037,Retinal epithelial cells
