AvgSpotLen	BioSample	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	developmental_stage	post_conception_week	source_name	tissue	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study
151	SAMN06854090	SRX2771202	7008	2788	SRR5488304	SRS2154676	GSM2592842	CS14	4.7	Embryonic Eye	Embryonic Eye	RNA-Seq	PRJNA384924	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-01	Homo sapiens	ILLUMINA	2019-01-23	SRP105756
151	SAMN06854089	SRX2771203	6612	2609	SRR5488305	SRS2154677	GSM2592843	CS14	4.7	Embryonic Eye	Embryonic Eye	RNA-Seq	PRJNA384924	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-01	Homo sapiens	ILLUMINA	2019-01-23	SRP105756
150	SAMN06854088	SRX2771204	12015	4620	SRR5488306	SRS2154678	GSM2592844	CS14	4.7	Embryonic Eye	Embryonic Eye	RNA-Seq	PRJNA384924	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-01	Homo sapiens	ILLUMINA	2019-01-23	SRP105756
150	SAMN06854087	SRX2771205	10465	4134	SRR5488307	SRS2154679	GSM2592845	CS16	5.6	Embryonic Eye	Embryonic Eye	RNA-Seq	PRJNA384924	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-01	Homo sapiens	ILLUMINA	2019-01-23	SRP105756
150	SAMN06854086	SRX2771206	10091	3893	SRR5488308	SRS2154680	GSM2592846	CS18	6.5	Embryonic Eye	Embryonic Eye	RNA-Seq	PRJNA384924	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-01	Homo sapiens	ILLUMINA	2019-01-23	SRP105756
150	SAMN06854085	SRX2771207	10905	4188	SRR5488309	SRS2154681	GSM2592847	CS18	6.5	Embryonic Eye	Embryonic Eye	RNA-Seq	PRJNA384924	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-01	Homo sapiens	ILLUMINA	2019-01-23	SRP105756
150	SAMN06854084	SRX2771208	10225	3917	SRR5488310	SRS2154682	GSM2592848	CS20	7	Embryonic Eye	Embryonic Eye	RNA-Seq	PRJNA384924	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-01	Homo sapiens	ILLUMINA	2019-01-23	SRP105756
150	SAMN06854083	SRX2771209	10716	4073	SRR5488311	SRS2154683	GSM2592849	CS22	7.8	Embryonic Retina	Embryonic Retina	RNA-Seq	PRJNA384924	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-01	Homo sapiens	ILLUMINA	2019-01-23	SRP105756
150	SAMN06854082	SRX2771210	11785	4496	SRR5488312	SRS2154684	GSM2592850	CS22	7.8	Embryonic Retina	Embryonic Retina	RNA-Seq	PRJNA384924	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-01	Homo sapiens	ILLUMINA	2019-01-23	SRP105756
150	SAMN06854081	SRX2771211	13007	5140	SRR5488313	SRS2154685	GSM2592851	CS23	8	Embryonic Eye	Embryonic Eye	RNA-Seq	PRJNA384924	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-01	Homo sapiens	ILLUMINA	2019-01-23	SRP105756
150	SAMN06854080	SRX2771212	12532	4944	SRR5488314	SRS2154686	GSM2592852	F1	9	Foetal Retina	Foetal Retina	RNA-Seq	PRJNA384924	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-01	Homo sapiens	ILLUMINA	2019-01-23	SRP105756
150	SAMN06854079	SRX2771213	11384	4530	SRR5488315	SRS2154687	GSM2592853	F1	9	Foetal Retina	Foetal Retina	RNA-Seq	PRJNA384924	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-01	Homo sapiens	ILLUMINA	2019-01-23	SRP105756
150	SAMN06854078	SRX2771214	12251	4823	SRR5488316	SRS2154688	GSM2592854	F2	10	Foetal Retina	Foetal Retina	RNA-Seq	PRJNA384924	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-01	Homo sapiens	ILLUMINA	2019-01-23	SRP105756
150	SAMN06854077	SRX2771215	11117	4365	SRR5488317	SRS2154689	GSM2592855	F4	12	Foetal Retina	Foetal Retina	RNA-Seq	PRJNA384924	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-01	Homo sapiens	ILLUMINA	2019-01-23	SRP105756
150	SAMN06854076	SRX2771216	11457	4510	SRR5488318	SRS2154690	GSM2592856	F5	13	Foetal Retina	Foetal Retina	RNA-Seq	PRJNA384924	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-01	Homo sapiens	ILLUMINA	2019-01-23	SRP105756
