Run,Assay Type,AvgSpotLen,Bases,Batch,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Group,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,re,Tissue
SRR6879112,RNA-Seq,102,7588107318,1,PRJNA445238,SAMN08772474,4750398938,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX3831828,GSM3060909,FECD with expansion,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-26T00:00:00Z,GSM3060909,corneal endothelium,SRP136239,RE+,
SRR6879113,RNA-Seq,102,8140429770,1,PRJNA445238,SAMN08772473,5092651470,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX3831829,GSM3060910,FECD with expansion,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-26T00:00:00Z,GSM3060910,corneal endothelium,SRP136239,RE+,
SRR6879114,RNA-Seq,102,7719802578,1,PRJNA445238,SAMN08772472,4797683820,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX3831830,GSM3060911,FECD with expansion,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-26T00:00:00Z,GSM3060911,corneal endothelium,SRP136239,RE+,
SRR6879115,RNA-Seq,102,7342321794,1,PRJNA445238,SAMN08772471,4467758634,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX3831831,GSM3060912,FECD with expansion,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-26T00:00:00Z,GSM3060912,corneal endothelium,SRP136239,RE+,
SRR6879116,RNA-Seq,102,4762303398,1,PRJNA445238,SAMN08772470,3072681435,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX3831832,GSM3060913,FECD NO expansion,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-26T00:00:00Z,GSM3060913,corneal endothelium,SRP136239,RE-,
SRR6879117,RNA-Seq,102,5178196566,1,PRJNA445238,SAMN08772475,3282658731,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX3831833,GSM3060914,FECD NO expansion,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-26T00:00:00Z,GSM3060914,corneal endothelium,SRP136239,RE-,
SRR6879118,RNA-Seq,202,23447994360,2,PRJNA445238,SAMN08772460,8988662273,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX3831834,GSM3060915,FECD with expansion,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-26T00:00:00Z,GSM3060915,corneal endothelium,SRP136239,RE+,
SRR6879119,RNA-Seq,202,27177745186,2,PRJNA445238,SAMN08772461,10349814535,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX3831835,GSM3060916,FECD with expansion,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-26T00:00:00Z,GSM3060916,corneal endothelium,SRP136239,RE+,
SRR6879120,RNA-Seq,202,22237006178,2,PRJNA445238,SAMN08772462,8842318629,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX3831836,GSM3060917,FECD with expansion,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-26T00:00:00Z,GSM3060917,corneal endothelium,SRP136239,RE+,
SRR6879121,RNA-Seq,202,26978158278,2,PRJNA445238,SAMN08772463,10336537373,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX3831837,GSM3060918,FECD with expansion,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-26T00:00:00Z,GSM3060918,corneal endothelium,SRP136239,RE+,
