Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR8867101,RNA-Seq,152,8741068256,PRJNA531468,SAMN11358984,3868540631,fetal retinal pigment epithelium,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX5654196,GSM3713753,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-31T00:00:00Z,GSM3713753,fetal retinal pigment epithelium,SRP191440
SRR8867102,RNA-Seq,152,6796011200,PRJNA531468,SAMN11358983,3036344262,fetal retinal pigment epithelium,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX5654197,GSM3713754,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-31T00:00:00Z,GSM3713754,fetal retinal pigment epithelium,SRP191440
SRR8867103,RNA-Seq,152,9940873872,PRJNA531468,SAMN11358981,4311971489,fetal retinal pigment epithelium,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX5654198,GSM3713755,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-31T00:00:00Z,GSM3713755,fetal retinal pigment epithelium,SRP191440
SRR8867104,RNA-Seq,152,14104627352,PRJNA531468,SAMN11358980,6113692047,fetal retinal pigment epithelium,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX5654199,GSM3713756,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-31T00:00:00Z,GSM3713756,fetal retinal pigment epithelium,SRP191440
SRR8867105,RNA-Seq,152,8136602560,PRJNA531468,SAMN11358978,3319782287,fetal retinal pigment epithelium,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX5654200,GSM3713757,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-31T00:00:00Z,GSM3713757,fetal retinal pigment epithelium,SRP191440
SRR8867107,RNA-Seq,152,10502332232,PRJNA531468,SAMN11358977,4303262464,fetal retinal pigment epithelium,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX5654201,GSM3713758,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-31T00:00:00Z,GSM3713758,fetal retinal pigment epithelium,SRP191440
SRR8867108,RNA-Seq,152,1602940624,PRJNA531468,SAMN11358975,498743450,fetal retinal pigment epithelium,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX5654202,GSM3713759,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-31T00:00:00Z,GSM3713759,fetal retinal pigment epithelium,SRP191440
SRR8867109,RNA-Seq,152,2059468216,PRJNA531468,SAMN11358974,641914499,fetal retinal pigment epithelium,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX5654203,GSM3713760,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-31T00:00:00Z,GSM3713760,fetal retinal pigment epithelium,SRP191440
SRR8867110,RNA-Seq,152,9089701536,PRJNA531468,SAMN11358973,3849604768,fetal retinal pigment epithelium,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX5654204,GSM3713761,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-31T00:00:00Z,GSM3713761,fetal retinal pigment epithelium,SRP191440
SRR8867111,RNA-Seq,152,4186045192,PRJNA531468,SAMN11358972,1768465087,fetal retinal pigment epithelium,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX5654205,GSM3713762,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-31T00:00:00Z,GSM3713762,fetal retinal pigment epithelium,SRP191440
SRR8867112,RNA-Seq,152,9003705256,PRJNA531468,SAMN11358971,4061293451,fetal retinal pigment epithelium,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX5654206,GSM3713763,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-31T00:00:00Z,GSM3713763,fetal retinal pigment epithelium,SRP191440
SRR8867113,RNA-Seq,152,4223805032,PRJNA531468,SAMN11358970,1905696998,fetal retinal pigment epithelium,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX5654207,GSM3713764,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-31T00:00:00Z,GSM3713764,fetal retinal pigment epithelium,SRP191440
SRR8867114,RNA-Seq,152,7947468048,PRJNA531468,SAMN11358969,3201413252,fetal retinal pigment epithelium,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX5654208,GSM3713765,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-31T00:00:00Z,GSM3713765,fetal retinal pigment epithelium,SRP191440
