Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,donor_id,Experiment,GEO_Accession (exp),Instrument,intentional_duplicate (run),LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,plating_density,ReleaseDate,Sample Name,source_name,SRA Study,substrate,Time_point,wounding_condition
SRR11296080,RNA-Seq,hg38,138,935457434,PRJNA612295,SAMN14366135,582613712,retinal pigmented epithelial (RPE) cells,GEO,public,"sra,bam","gs,s3","s3.us-east-1,gs.US",hfRPE-110912,SRX7901481,GSM4408738,Ion Torrent Proton,,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,"100,000 cells/cm2",2020-07-08T00:00:00Z,GSM4408738,"Fetal RPE- Donor ""E""",SRP252574,ECIS 96W1E+,5h,Acute
SRR11296081,RNA-Seq,hg38,136,880377165,PRJNA612295,SAMN14366134,545244867,retinal pigmented epithelial (RPE) cells,GEO,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",hfRPE-110912,SRX7901482,GSM4408739,Ion Torrent Proton,,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,"100,000 cells/cm2",2020-07-08T00:00:00Z,GSM4408739,"Fetal RPE- Donor ""E""",SRP252574,ECIS 96W1E+,5h,Acute
SRR11296082,RNA-Seq,hg38,141,760169747,PRJNA612295,SAMN14366133,473473302,retinal pigmented epithelial (RPE) cells,GEO,public,"sra,bam","gs,s3","s3.us-east-1,gs.US",hfRPE-110912,SRX7901483,GSM4408740,Ion Torrent Proton,,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,"100,000 cells/cm2",2020-07-08T00:00:00Z,GSM4408740,"Fetal RPE- Donor ""E""",SRP252574,ECIS 96W1E+,5h,Acute
SRR11296083,RNA-Seq,hg38,142,783491069,PRJNA612295,SAMN14366132,488957839,retinal pigmented epithelial (RPE) cells,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",hfRPE-110912,SRX7901484,GSM4408741,Ion Torrent Proton,,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,"100,000 cells/cm2",2020-07-08T00:00:00Z,GSM4408741,"Fetal RPE- Donor ""E""",SRP252574,ECIS 96W1E+,24h,Acute
SRR11296084,RNA-Seq,hg38,145,1207685830,PRJNA612295,SAMN14366131,754526993,retinal pigmented epithelial (RPE) cells,GEO,public,"sra,bam","gs,s3","s3.us-east-1,gs.US",hfRPE-110912,SRX7901485,GSM4408742,Ion Torrent Proton,,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,"100,000 cells/cm2",2020-07-08T00:00:00Z,GSM4408742,"Fetal RPE- Donor ""E""",SRP252574,ECIS 96W1E+,24h,Acute
SRR11296085,RNA-Seq,hg38,147,910269887,PRJNA612295,SAMN14366130,567724322,retinal pigmented epithelial (RPE) cells,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",hfRPE-110912,SRX7901486,GSM4408743,Ion Torrent Proton,,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,"100,000 cells/cm2",2020-07-08T00:00:00Z,GSM4408743,"Fetal RPE- Donor ""E""",SRP252574,ECIS 96W1E+,24h,Acute
SRR11296086,RNA-Seq,hg38,139,557866686,PRJNA612295,SAMN14366129,346098496,retinal pigmented epithelial (RPE) cells,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",hfRPE-110912,SRX7901487,GSM4408744,Ion Torrent Proton,,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,"100,000 cells/cm2",2020-07-08T00:00:00Z,GSM4408744,"Fetal RPE- Donor ""E""",SRP252574,ECIS 96W1E+,8 days,Acute
SRR11296087,RNA-Seq,hg38,133,522828400,PRJNA612295,SAMN14366128,324140609,retinal pigmented epithelial (RPE) cells,GEO,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",hfRPE-110912,SRX7901488,GSM4408745,Ion Torrent Proton,,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,"100,000 cells/cm2",2020-07-08T00:00:00Z,GSM4408745,"Fetal RPE- Donor ""E""",SRP252574,ECIS 96W1E+,8 days,Acute
SRR11296088,RNA-Seq,hg38,137,488497696,PRJNA612295,SAMN14366127,304198432,retinal pigmented epithelial (RPE) cells,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",hfRPE-110912,SRX7901489,GSM4408746,Ion Torrent Proton,,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,"100,000 cells/cm2",2020-07-08T00:00:00Z,GSM4408746,"Fetal RPE- Donor ""E""",SRP252574,ECIS 96W1E+,8 days,Acute
SRR11296089,RNA-Seq,hg38,144,597568337,PRJNA612295,SAMN14366126,374622733,retinal pigmented epithelial (RPE) cells,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",hfRPE-110912,SRX7901490,GSM4408747,Ion Torrent Proton,,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,"100,000 cells/cm2",2020-07-08T00:00:00Z,GSM4408747,"Fetal RPE- Donor ""E""",SRP252574,ECIS 96W1E+,5h,Chronic
