Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,secondary_id,source_name,SRA Study,Treatment
SRR16201939,RNA-Seq,152,2240775336,PRJNA768489,SAMN22047585,884531285,iPSC derived RPE,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX12486297,GSM5610469,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-10-13T00:00:00Z,GSM5610469,RS4,iPSC-RPE-1_CI-HS_RS4,SRP340003,CI-HS
SRR16201940,RNA-Seq,152,2181705856,PRJNA768489,SAMN22047586,874828269,iPSC derived RPE,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX12486298,GSM5610470,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-10-13T00:00:00Z,GSM5610470,RS4,iPSC-RPE-1_CI-HS_RS4,SRP340003,CI-HS
SRR16201941,RNA-Seq,152,2179871064,PRJNA768489,SAMN22047587,870981506,iPSC derived RPE,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX12486299,GSM5610471,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-10-13T00:00:00Z,GSM5610471,RS4,iPSC-RPE-1_CI-HS_RS4,SRP340003,CI-HS
SRR16201942,RNA-Seq,152,2127848760,PRJNA768489,SAMN22047588,863064856,iPSC derived RPE,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX12486300,GSM5610472,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-10-13T00:00:00Z,GSM5610472,RS4,iPSC-RPE-1_CI-HS_RS4,SRP340003,CI-HS
SRR16201943,RNA-Seq,152,2478141880,PRJNA768489,SAMN22047589,983618919,iPSC derived RPE,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX12486301,GSM5610473,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-10-13T00:00:00Z,GSM5610473,RS11,iPSC-RPE-2_CI-HS_RS11,SRP340003,CI-HS
SRR16201944,RNA-Seq,152,2412945888,PRJNA768489,SAMN22047590,970194867,iPSC derived RPE,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX12486302,GSM5610474,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-10-13T00:00:00Z,GSM5610474,RS11,iPSC-RPE-2_CI-HS_RS11,SRP340003,CI-HS
SRR16201945,RNA-Seq,152,2404245104,PRJNA768489,SAMN22047591,970499170,iPSC derived RPE,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12486303,GSM5610475,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-10-13T00:00:00Z,GSM5610475,RS11,iPSC-RPE-2_CI-HS_RS11,SRP340003,CI-HS
SRR16201946,RNA-Seq,152,2350067744,PRJNA768489,SAMN22047592,960823621,iPSC derived RPE,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX12486304,GSM5610476,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-10-13T00:00:00Z,GSM5610476,RS11,iPSC-RPE-2_CI-HS_RS11,SRP340003,CI-HS
SRR16201947,RNA-Seq,152,2131506944,PRJNA768489,SAMN22047593,872914224,iPSC derived RPE,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX12486305,GSM5610477,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-10-13T00:00:00Z,GSM5610477,RS18,iPSC-RPE-3_CI-HS_RS18,SRP340003,CI-HS
SRR16201948,RNA-Seq,152,2178851904,PRJNA768489,SAMN22047594,871891742,iPSC derived RPE,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX12486306,GSM5610478,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-10-13T00:00:00Z,GSM5610478,RS18,iPSC-RPE-3_CI-HS_RS18,SRP340003,CI-HS
SRR16201949,RNA-Seq,152,2051514664,PRJNA768489,SAMN22047595,838093254,iPSC derived RPE,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12486307,GSM5610479,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-10-13T00:00:00Z,GSM5610479,RS18,iPSC-RPE-3_CI-HS_RS18,SRP340003,CI-HS
SRR16201950,RNA-Seq,152,2109967480,PRJNA768489,SAMN22047596,855778350,iPSC derived RPE,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12486308,GSM5610480,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-10-13T00:00:00Z,GSM5610480,RS18,iPSC-RPE-3_CI-HS_RS18,SRP340003,CI-HS
SRR16201951,RNA-Seq,152,2160855560,PRJNA768489,SAMN22047597,876914977,iPSC derived RPE,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX12486309,GSM5610481,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-10-13T00:00:00Z,GSM5610481,RS3,iPSC-RPE-1_CC-HS_RS3,SRP340003,CC-HS
