Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Time,Tissue
SRR19761394,RNA-Seq,150,11975984700,PRJNA851279,SAMN29220795,4870246574,iPSCs,"NEURO-PSI, CERTO, CNRS-UNIVERSITE PARIS SUD",public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX15806119,Symptomatic,Illumina NovaSeq 6000,GSM6255956,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-01T00:00:00Z,GSM6255956,Retinal pigmented epithelium,SRP382853,NA,Retinal pigmented epithelium
SRR19761395,RNA-Seq,150,10270888950,PRJNA851279,SAMN29220796,4109990047,iPSCs,"NEURO-PSI, CERTO, CNRS-UNIVERSITE PARIS SUD",public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX15806118,Symptomatic,Illumina NovaSeq 6000,GSM6255955,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-01T00:00:00Z,GSM6255955,Retinal pigmented epithelium,SRP382853,NA,Retinal pigmented epithelium
SRR19761396,RNA-Seq,150,9398453700,PRJNA851279,SAMN29220797,3800596912,iPSCs,"NEURO-PSI, CERTO, CNRS-UNIVERSITE PARIS SUD",public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX15806117,Symptomatic,Illumina NovaSeq 6000,GSM6255954,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-01T00:00:00Z,GSM6255954,Retinal pigmented epithelium,SRP382853,NA,Retinal pigmented epithelium
SRR19761397,RNA-Seq,150,10960919250,PRJNA851279,SAMN29220798,4028355000,iPSCs,"NEURO-PSI, CERTO, CNRS-UNIVERSITE PARIS SUD",public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX15806116,Asymptomatic,Illumina NovaSeq 6000,GSM6255953,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-01T00:00:00Z,GSM6255953,Retinal pigmented epithelium,SRP382853,NA,Retinal pigmented epithelium
SRR19761398,RNA-Seq,150,8329092450,PRJNA851279,SAMN29220799,3156125631,iPSCs,"NEURO-PSI, CERTO, CNRS-UNIVERSITE PARIS SUD",public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX15806115,Asymptomatic,Illumina NovaSeq 6000,GSM6255952,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-01T00:00:00Z,GSM6255952,Retinal pigmented epithelium,SRP382853,NA,Retinal pigmented epithelium
SRR19761399,RNA-Seq,150,8437510650,PRJNA851279,SAMN29220800,3099765267,iPSCs,"NEURO-PSI, CERTO, CNRS-UNIVERSITE PARIS SUD",public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX15806114,Asymptomatic,Illumina NovaSeq 6000,GSM6255951,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-01T00:00:00Z,GSM6255951,Retinal pigmented epithelium,SRP382853,NA,Retinal pigmented epithelium
SRR19761400,RNA-Seq,150,10571257500,PRJNA851279,SAMN29220801,4704259595,iPSCs,"NEURO-PSI, CERTO, CNRS-UNIVERSITE PARIS SUD",public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX15806113,Control,Illumina NovaSeq 6000,GSM6255950,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-01T00:00:00Z,GSM6255950,Retinal pigmented epithelium,SRP382853,NA,Retinal pigmented epithelium
SRR19761401,RNA-Seq,150,8663986950,PRJNA851279,SAMN29220802,3606353224,iPSCs,"NEURO-PSI, CERTO, CNRS-UNIVERSITE PARIS SUD",public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX15806112,Control,Illumina NovaSeq 6000,GSM6255949,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-01T00:00:00Z,GSM6255949,Retinal pigmented epithelium,SRP382853,NA,Retinal pigmented epithelium
SRR19761402,RNA-Seq,150,26915922300,PRJNA851279,SAMN29220803,11207486328,iPSCs,"NEURO-PSI, CERTO, CNRS-UNIVERSITE PARIS SUD",public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX15806111,Control,Illumina NovaSeq 6000,GSM6255948,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-01T00:00:00Z,GSM6255948,Retinal pigmented epithelium,SRP382853,NA,Retinal pigmented epithelium
SRR19761403,RNA-Seq,200,9605264600,PRJNA851279,SAMN29220804,3069133963,iPSCs,"NEURO-PSI, CERTO, CNRS-UNIVERSITE PARIS SUD",public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX15806110,Isogenic,Illumina NovaSeq 6000,GSM6255947,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-01T00:00:00Z,GSM6255947,patient derived Retinal organoids,SRP382853,D130,patient derived Retinal organoids
SRR19761404,RNA-Seq,200,8239089200,PRJNA851279,SAMN29220805,2635032464,iPSCs,"NEURO-PSI, CERTO, CNRS-UNIVERSITE PARIS SUD",public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX15806109,Isogenic,Illumina NovaSeq 6000,GSM6255946,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-01T00:00:00Z,GSM6255946,patient derived Retinal organoids,SRP382853,D130,patient derived Retinal organoids
SRR19761405,RNA-Seq,200,7501158600,PRJNA851279,SAMN29220806,2456765370,iPSCs,"NEURO-PSI, CERTO, CNRS-UNIVERSITE PARIS SUD",public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX15806108,Isogenic,Illumina NovaSeq 6000,GSM6255945,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-01T00:00:00Z,GSM6255945,patient derived Retinal organoids,SRP382853,D130,patient derived Retinal organoids
SRR19761406,RNA-Seq,200,8033490800,PRJNA851279,SAMN29220807,2601591637,iPSCs,"NEURO-PSI, CERTO, CNRS-UNIVERSITE PARIS SUD",public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX15806107,Symptomatic,Illumina NovaSeq 6000,GSM6255944,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-01T00:00:00Z,GSM6255944,patient derived Retinal organoids,SRP382853,D130,patient derived Retinal organoids
SRR19761407,RNA-Seq,200,8920515000,PRJNA851279,SAMN29220808,2844871150,iPSCs,"NEURO-PSI, CERTO, CNRS-UNIVERSITE PARIS SUD",public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX15806106,Symptomatic,Illumina NovaSeq 6000,GSM6255943,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-01T00:00:00Z,GSM6255943,patient derived Retinal organoids,SRP382853,D130,patient derived Retinal organoids
