Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,source_name,SRA Study,Tissue,create_date,version
SRR5225761,79,RNA-Seq,202,12237214136,PRJNA369687,SAMN06291367,8258708178,GEO,public,"sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX2534877,GSM2475285,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-07T00:00:00Z,GSM2475285,male,Peripheral Retina,SRP098761,Peripheral Retina,2017-02-02T17:59:00Z,1
SRR5225762,79,RNA-Seq,202,11373984508,PRJNA369687,SAMN06291377,7658742955,GEO,public,"sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX2534878,GSM2475286,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-07T00:00:00Z,GSM2475286,male,Peripheral RPE/choroid/sclera,SRP098761,Peripheral RPE/choroid/sclera,2017-02-02T18:14:00Z,1
SRR5225763,79,RNA-Seq,202,11577031272,PRJNA369687,SAMN06291378,7839686338,GEO,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX2534879,GSM2475287,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-07T00:00:00Z,GSM2475287,male,Macular Retina,SRP098761,Macular Retina,2017-02-02T18:42:00Z,1
SRR5225764,79,RNA-Seq,202,11462887536,PRJNA369687,SAMN06291379,7682059896,GEO,public,"sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX2534880,GSM2475288,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-07T00:00:00Z,GSM2475288,male,Macular RPE/choroid/sclera,SRP098761,Macular RPE/choroid/sclera,2017-02-02T18:08:00Z,1
SRR5225765,62,RNA-Seq,202,11042048210,PRJNA369687,SAMN06291368,7233698158,GEO,public,"run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX2534881,GSM2475289,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-07T00:00:00Z,GSM2475289,female,Peripheral Retina,SRP098761,Peripheral Retina,2017-02-02T18:09:00Z,1
SRR5225766,62,RNA-Seq,202,10915028388,PRJNA369687,SAMN06291395,7188155616,GEO,public,"run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX2534882,GSM2475290,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-07T00:00:00Z,GSM2475290,female,Peripheral RPE/choroid/sclera,SRP098761,Peripheral RPE/choroid/sclera,2017-02-02T18:25:00Z,1
SRR5225767,62,RNA-Seq,202,10032723900,PRJNA369687,SAMN06291376,6604325586,GEO,public,"sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX2534883,GSM2475291,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-07T00:00:00Z,GSM2475291,female,Macular Retina,SRP098761,Macular Retina,2017-02-02T18:30:00Z,1
SRR5225768,62,RNA-Seq,202,10522179596,PRJNA369687,SAMN06291375,6906072125,GEO,public,"run.zq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2534884,GSM2475292,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-07T00:00:00Z,GSM2475292,female,Macular RPE/choroid/sclera,SRP098761,Macular RPE/choroid/sclera,2017-02-02T18:21:00Z,1
SRR5225769,63,RNA-Seq,202,10695697394,PRJNA369687,SAMN06291369,7004911114,GEO,public,"run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2534885,GSM2475293,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-07T00:00:00Z,GSM2475293,male,Peripheral Retina,SRP098761,Peripheral Retina,2017-02-02T19:01:00Z,1
SRR5225770,63,RNA-Seq,202,10695118462,PRJNA369687,SAMN06291373,6992887310,GEO,public,"run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX2534886,GSM2475294,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-07T00:00:00Z,GSM2475294,male,Peripheral RPE/choroid/sclera,SRP098761,Peripheral RPE/choroid/sclera,2017-02-02T18:48:00Z,1
