#sample_accession	run_accession	paired	Tissue	Sub_Tissue	Origin	Age_Days	Source
E-MTAB-4377.RNA1	E-MTAB-4377.RNA1	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
E-MTAB-4377.RNA10	E-MTAB-4377.RNA10	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
E-MTAB-4377.RNA11	E-MTAB-4377.RNA11	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
E-MTAB-4377.RNA12	E-MTAB-4377.RNA12	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
E-MTAB-4377.RNA13	E-MTAB-4377.RNA13	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
E-MTAB-4377.RNA14	E-MTAB-4377.RNA14	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
E-MTAB-4377.RNA15	E-MTAB-4377.RNA15	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
E-MTAB-4377.RNA16	E-MTAB-4377.RNA16	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
E-MTAB-4377.RNA17	E-MTAB-4377.RNA17	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
E-MTAB-4377.RNA18	E-MTAB-4377.RNA18	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
E-MTAB-4377.RNA19	E-MTAB-4377.RNA19	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
E-MTAB-4377.RNA2	E-MTAB-4377.RNA2	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
E-MTAB-4377.RNA20	E-MTAB-4377.RNA20	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
E-MTAB-4377.RNA21	E-MTAB-4377.RNA21	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
E-MTAB-4377.RNA22	E-MTAB-4377.RNA22	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
E-MTAB-4377.RNA23	E-MTAB-4377.RNA23	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
E-MTAB-4377.RNA24	E-MTAB-4377.RNA24	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
E-MTAB-4377.RNA25	E-MTAB-4377.RNA25	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
E-MTAB-4377.RNA26	E-MTAB-4377.RNA26	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
E-MTAB-4377.RNA27	E-MTAB-4377.RNA27	y	Retina	Retina_Adult.Tissue	Adult.Tissue	.	old
